ja	zh-TW	category	status	notes
泰山	泰山	location	provisional	臺灣三國志慣用字形；待 ROM 核對
夏丘	夏丘	location	provisional	臺灣攻略常用字形；待 ROM 核對
彭城	彭城	location	provisional	臺灣三國志慣用字形；待 ROM 核對
淮南	淮南	location	provisional	臺灣三國志慣用字形；待 ROM 核對
下邳	下邳	location	provisional	臺灣三國志慣用字形；待 ROM 核對
兗州	兗州	location	provisional	臺灣三國志慣用字形；待 ROM 核對
古城	古城	location	provisional	臺灣攻略常用字形；待 ROM 核對
穎川	潁川	location	provisional	臺灣繁體歷史地名慣用字形；待 ROM 核對
汝南	汝南	location	provisional	臺灣三國志慣用字形；待 ROM 核對
官渡	官渡	location	provisional	臺灣三國志慣用字形；待 ROM 核對
新野	新野	location	provisional	臺灣三國志慣用字形；待 ROM 核對
襄陽	襄陽	location	provisional	臺灣三國志慣用字形；待 ROM 核對
長坂坡	長坂坡	location	provisional	臺灣三國志慣用字形；待 ROM 核對
江夏	江夏	location	provisional	臺灣三國志慣用字形；待 ROM 核對
南陽	南陽	location	provisional	臺灣三國志慣用字形；待 ROM 核對
江陵	江陵	location	provisional	臺灣三國志慣用字形；待 ROM 核對
武陵	武陵	location	provisional	臺灣三國志慣用字形；待 ROM 核對
零陵	零陵	location	provisional	臺灣三國志慣用字形；待 ROM 核對
桂陽	桂陽	location	provisional	臺灣三國志慣用字形；待 ROM 核對
長沙	長沙	location	provisional	臺灣三國志慣用字形；待 ROM 核對
公安	公安	location	provisional	臺灣三國志慣用字形；待 ROM 核對
雒	雒	location	provisional	字形與雒城／雒縣上下文待 ROM 核對；不自行改寫
葭萌関	葭萌關	location	provisional	臺灣歷史地名慣用字形；待 ROM 核對
成都	成都	location	provisional	臺灣三國志慣用字形；待 ROM 核對
瓦口関	瓦口關	location	provisional	臺灣攻略常用字形；待 ROM 核對
定軍山	定軍山	location	provisional	臺灣三國志慣用字形；待 ROM 核對
天蕩山	天蕩山	location	provisional	臺灣攻略常用字形；待 ROM 核對
漢水	漢水	location	provisional	臺灣三國志慣用字形；待 ROM 核對
陽平関	陽平關	location	provisional	臺灣歷史地名慣用字形；待 ROM 核對
麦	麥城	location	provisional	日文攻略用簡略戰場名；需以 ROM 完整名稱核對
西陵	西陵	location	provisional	臺灣三國志慣用字形；待 ROM 核對
夷陵	夷陵	location	provisional	臺灣三國志慣用字形；待 ROM 核對
鄴	鄴	location	provisional	臺灣繁體歷史地名慣用字形；待 ROM 核對
丞相	丞相	office	provisional	三國志慣用官職；是否為本作顯示文字待 ROM 核對
太守	太守	office	provisional	三國志慣用官職；是否為本作顯示文字待 ROM 核對
軍師	軍師	office	provisional	三國志慣用官職／身分；待 ROM 核對
大将軍	大將軍	office	provisional	三國志慣用官職；待 ROM 核對
将軍	將軍	office	provisional	三國志慣用官職；待 ROM 核對
文官	文官	office	provisional	三國志慣用分類；待 ROM 核對
武官	武官	office	provisional	三國志慣用分類；待 ROM 核對
短兵	短兵	class	provisional	GBA 日文攻略兵種名；保留系統用語，待 ROM 核對
長兵	長兵	class	provisional	GBA 日文攻略兵種名；保留系統用語，待 ROM 核對
弓兵	弓兵	class	provisional	臺灣三國志慣用兵種名；待 ROM 核對
軽騎兵	輕騎兵	class	provisional	臺灣繁體字形；待 ROM 核對
重騎兵	重騎兵	class	provisional	臺灣繁體字形；待 ROM 核對
賊兵	賊兵	class	provisional	臺灣三國志慣用兵種名；待 ROM 核對
凶賊	凶賊	class	provisional	日文攻略兵種名；不改作泛稱山賊，待 ROM 核對
義賊	義賊	class	provisional	日文攻略兵種名；待 ROM 核對
軍楽隊	軍樂隊	class	provisional	臺灣繁體字形；待 ROM 核對
猛獣師	猛獸師	class	provisional	臺灣繁體字形；待 ROM 核對
武道家	武道家	class	provisional	臺灣三國志攻略慣用兵種名；待 ROM 核對
妖術使	妖術使	class	provisional	臺灣三國志攻略慣用兵種名；待 ROM 核對
異民族	異民族	class	provisional	臺灣繁體字形；待 ROM 核對
輸送隊	輸送隊	class	provisional	臺灣繁體字形；待 ROM 核對
連弩兵	連弩兵	class	provisional	臺灣三國志慣用兵種名；待 ROM 核對
発石車	投石車	class	provisional	來源有「發石車／投石車」字形分歧；先採臺灣攻略常見候選，待 ROM 核對
戦車	戰車	class	provisional	臺灣繁體字形；待 ROM 核對
兵種	兵種	class	provisional	系統分類詞；待 ROM 核對
策略	策略	system	provisional	本作系統分類；不先泛化成技能，待 ROM 核對
援助	援助	tactic	provisional	恢復類策略；待 ROM 選單核對
補給	補給	tactic	provisional	恢復類策略；待 ROM 選單核對
救済	救濟	tactic	provisional	恢復類策略；待 ROM 選單核對
大援助	大援助	tactic	provisional	恢復類策略；待 ROM 選單核對
大補給	大補給	tactic	provisional	恢復類策略；待 ROM 選單核對
大救済	大救濟	tactic	provisional	恢復類策略；待 ROM 選單核對
仁徳	仁德	tactic	provisional	劉備專用恢復策略候選；待 ROM 選單核對
義徳	義德	tactic	provisional	恢復策略候選；待 ROM 選單核對
焦熱	焦熱	tactic	provisional	火系攻擊策略；待 ROM 選單核對
業火	業火	tactic	provisional	火系攻擊策略；待 ROM 選單核對
渦潮	渦潮	tactic	provisional	水系攻擊策略；待 ROM 選單核對
水刃	水刃	tactic	provisional	水系攻擊策略；待 ROM 選單核對
落石	落石	tactic	provisional	地系攻擊策略；待 ROM 選單核對
落穴	落穴	tactic	provisional	地系攻擊策略；待 ROM 選單核對
土石流	土石流	tactic	provisional	地系攻擊策略；待 ROM 選單核對
大地割	大地割	tactic	provisional	地系攻擊策略；待 ROM 選單核對
旋風	旋風	tactic	provisional	風系攻擊策略；待 ROM 選單核對
大旋風	大旋風	tactic	provisional	風系攻擊策略；待 ROM 選單核對
落雷	落雷	tactic	provisional	風系攻擊策略；待 ROM 選單核對
鼓舞	鼓舞	tactic	provisional	攻擊上升輔助策略；待 ROM 選單核對
堅固	堅固	tactic	provisional	防禦上升輔助策略；待 ROM 選單核對
虛言	虛言	tactic	provisional	混亂類輔助策略；待 ROM 選單核對
昇華	昇華	tactic	provisional	狀態恢復輔助策略；待 ROM 選單核對
暴走	暴走	tactic	provisional	攻擊上升／失控輔助策略；待 ROM 選單核對
矛盾	矛盾	tactic	provisional	吸收兵力輔助策略；待 ROM 選單核對
回帰	回歸	tactic	provisional	恢復未行動狀態策略；待 ROM 選單核對
風無	風無	tactic	provisional	封鎖策略輔助策略；待 ROM 選單核對
風気	風氣	tactic	provisional	兵數轉策略值候選；待 ROM 選單核對
一騎打ち	單挑	event	provisional	臺灣攻略常見事件用語；待 ROM 事件核對
群雄	群雄	scenario	provisional	普通歷史敘事用語；E batch 14 待 ROM 結局畫面核對
復興	復興	scenario	provisional	普通歷史敘事用語；E batch 14 待 ROM 結局畫面核對
平安	平安	scenario	provisional	普通敘事用語；E batch 14 待 ROM 結局畫面核對
冷落	冷落	scenario	provisional	普通敘事用語；E batch 14 待 ROM 結局畫面核對
安寧	安寧	scenario	provisional	普通歷史敘事用語；E batch 15 待 ROM 結局畫面核對
刺客	刺客	event	provisional	普通劇情事件用語；E batch 15 待 ROM 結局畫面核對
大意	大意	scenario	provisional	普通敘事用語；E batch 15 待 ROM 結局畫面核對
防備	防備	scenario	provisional	普通敘事用語；E batch 15 待 ROM 結局畫面核對
信念	信念	scenario	provisional	普通敘事用語；E batch 15 待 ROM 結局畫面核對
援軍	援軍	event	provisional	臺灣三國志慣用事件用語；待 ROM 事件核對
増援	增援	event	provisional	臺灣繁體字形；待 ROM 事件核對
説得	說服	event	provisional	事件選項候選；是否為勸降語境待 ROM 核對
退却	撤退	event	provisional	臺灣攻略常見事件用語；待 ROM 事件核對
勝利条件	勝利條件	event	provisional	臺灣繁體 UI 候選；待 ROM 核對
敗北条件	敗北條件	event	provisional	臺灣繁體 UI 候選；待 ROM 核對
分岐	分歧	event	provisional	章節路線 UI 候選；待 ROM 核對
加入	加入	event	provisional	武將加入事件候選；待 ROM 核對
離脱	離隊	event	provisional	武將離隊事件候選；待 ROM 核對
兵種変更	兵種變更	event	provisional	轉職／兵種 UI 候選；待 ROM 核對
転職	轉職	event	provisional	臺灣繁體 UI 候選；待 ROM 核對
序章	序章	scenario	provisional	章節標籤；待 ROM 核對
一章	第一章	scenario	provisional	章節標籤；待 ROM 核對
二章	第二章	scenario	provisional	章節標籤；待 ROM 核對
三章	第三章	scenario	provisional	章節標籤；待 ROM 核對
終章	終章	scenario	provisional	章節標籤；待 ROM 核對
